Date,Open,High,Low,Close,Adj Close,Volume
2014-08-07,102.500000,102.500000,102.500000,102.500000,102.500000,32
2014-08-08,102.500000,102.849998,102.500000,102.849998,102.849998,1960
2014-08-11,101.000000,101.000000,101.000000,101.000000,101.000000,10
2014-08-12,102.910004,102.910004,102.500000,102.910004,102.910004,3432
2014-08-13,102.900002,102.900002,102.900002,102.900002,102.900002,45
2014-08-14,102.500000,102.500000,102.000000,102.000000,102.000000,1245
2014-08-15,102.000000,102.000000,102.000000,102.000000,102.000000,0
2014-08-18,102.000000,102.000000,102.000000,102.000000,102.000000,0
2014-08-19,102.000000,102.000000,102.000000,102.000000,102.000000,0
2014-08-20,102.000000,102.000000,102.000000,102.000000,102.000000,0
2014-08-21,102.000000,102.000000,102.000000,102.000000,102.000000,0
2014-08-22,102.500000,102.500000,102.500000,102.500000,102.500000,83
2014-08-25,102.989998,102.989998,102.970001,102.970001,102.970001,499
2014-08-26,102.970001,102.970001,102.970001,102.970001,102.970001,0
2014-08-27,102.500000,102.500000,102.500000,102.500000,102.500000,60
2014-08-28,102.900002,102.900002,102.900002,102.900002,102.900002,1900
2014-08-29,102.900002,102.900002,102.900002,102.900002,102.900002,0
2014-09-01,102.919998,102.919998,102.919998,102.919998,102.919998,273
2014-09-02,102.919998,102.919998,102.919998,102.919998,102.919998,0
2014-09-03,102.919998,102.919998,102.919998,102.919998,102.919998,0
2014-09-04,102.919998,102.919998,102.919998,102.919998,102.919998,0
2014-09-05,102.919998,102.919998,102.919998,102.919998,102.919998,0
2014-09-08,102.919998,102.919998,102.919998,102.919998,102.919998,0
2014-09-09,102.919998,102.919998,102.919998,102.919998,102.919998,0
2014-09-10,102.919998,102.919998,102.919998,102.919998,102.919998,0
2014-09-11,102.919998,102.919998,102.919998,102.919998,102.919998,0
2014-09-12,101.029999,102.889999,101.029999,102.889999,102.889999,4245
2014-09-15,102.889999,102.889999,102.889999,102.889999,102.889999,0
2014-09-16,101.500000,101.500000,101.500000,101.500000,101.500000,978
2014-09-17,102.959999,102.959999,102.959999,102.959999,102.959999,1890
2014-09-18,102.959999,102.959999,102.959999,102.959999,102.959999,0
2014-09-19,102.959999,102.959999,102.959999,102.959999,102.959999,0
2014-09-22,102.959999,102.959999,102.959999,102.959999,102.959999,0
2014-09-23,102.959999,102.959999,102.959999,102.959999,102.959999,0
2014-09-24,102.959999,102.959999,102.959999,102.959999,102.959999,0
2014-09-25,102.959999,102.959999,102.959999,102.959999,102.959999,0
2014-09-26,102.959999,102.959999,102.959999,102.959999,102.959999,0
2014-09-29,102.959999,102.959999,102.959999,102.959999,102.959999,0
2014-09-30,102.959999,102.959999,102.959999,102.959999,102.959999,0
2014-10-01,101.110001,102.949997,101.099998,101.099998,101.099998,110
2014-10-02,101.099998,101.099998,101.099998,101.099998,101.099998,0
2014-10-03,101.099998,101.099998,101.099998,101.099998,101.099998,0
2014-10-06,101.099998,101.099998,101.099998,101.099998,101.099998,0
2014-10-07,101.099998,101.099998,101.099998,101.099998,101.099998,0
2014-10-08,101.099998,101.099998,101.099998,101.099998,101.099998,0
2014-10-09,101.500000,101.500000,101.500000,101.500000,101.500000,7185
2014-10-10,101.500000,101.500000,101.500000,101.500000,101.500000,0
2014-10-13,101.500000,101.500000,101.500000,101.500000,101.500000,0
2014-10-14,101.500000,101.500000,101.500000,101.500000,101.500000,0
2014-10-15,101.500000,101.500000,101.500000,101.500000,101.500000,0
2014-10-16,102.940002,102.940002,102.940002,102.940002,102.940002,10968
2014-10-17,102.940002,102.940002,102.940002,102.940002,102.940002,0
2014-10-20,102.989998,102.989998,102.989998,102.989998,102.989998,17080
